Geography,Locationabbr,neverMarried,collegeEducation,0.681969296
Alabama,AL,30.2,20.4,
Alaska,AK,34.7,24.1,
Arizona,AZ,33.4,23.9,
Arkansas,AR,28.2,18.2,
California,CA,36.8,27.3,
Colorado,CO,31.6,33.4,
Connecticut,CT,34.5,32.9,
Delaware,DE,33.4,26.1,
District of Columbia,DC,56.5,49.1,
Florida,FL,31.6,24.1,
Georgia,GA,34.4,24.7,
Hawaii,HI,33.5,27.3,
Idaho,ID,27,22.4,
Illinois,IL,35.2,28.4,
Indiana,IN,30.6,20.8,
Iowa,IA,29,23.4,
Kansas,KS,29.1,27,
Kentucky,KY,28.4,19.3,
Louisiana,LA,35.5,19.8,
Maine,ME,28.7,25.6,
Maryland,MD,35.4,33.3,
Massachusetts,MA,37.1,35.5,
Michigan,MI,33.2,23.4,
Minnesota,MN,32,29.6,
Mississippi,MS,33.6,18.1,
Missouri,MO,30.5,23.8,
Montana,MT,28.6,26.2,
Nebraska,NE,29.7,25.8,
Nevada,NV,33.7,19.9,
New Hampshire,NH,29.6,31,
New Jersey,NJ,34.7,32.5,
New Mexico,NM,34.5,22.8,
New York,NY,38.5,30.4,
North Carolina,NC,31.4,24.3,
North Dakota,ND,31.9,25,
Ohio,OH,32.1,22.8,
Oklahoma,OK,28.2,21,
Oregon,OR,30.7,26.8,
Pennsylvania,PA,33.6,25.1,
Rhode Island,RI,36.1,27.9,
South Carolina,SC,32.4,22.5,
South Dakota,SD,30.6,23.8,
Tennessee,TN,29.8,21.5,
Texas,TX,32.4,23.5,
Utah,UT,29.4,25.8,
Vermont,VT,30.7,31.5,
Virginia,VA,32,31.7,
Washington,WA,30.9,28.7,
West Virginia,WV,27.7,16.6,
Wisconsin,WI,31.7,24.3,
Wyoming,WY,27,22.8,
Puerto Rico,PR,39.2,29.4,